Carimbo de data/hora,Data Nascimento:,Curso:,Período:,Motivo pela escolha da Fatec (esta questão admite mais de uma resposta):,Motivo da escolha do curso (esta questão admite mais de uma resposta):,Tempo decorrido da conclusão do ensino médio:,Formado em escola:        ,"Você trabalha?  ( A empregabilidade, principalmente se relacionada ao curso, pode motivá-lo(a) para o programa.) ","Se positivo, favor informar: 
Nome da empresa:","Se positivo, favor informar: Cargo ocupado:",O cargo ocupado é compatível com o curso que você acaba de se matricular?,"(a renda pessoal ou familiar pode reduzir a necessidade por outros trabalhos, sem riscos para o seu curso)
Número de salários-mínimos que recebe:",Espaço para suas considerações 
3/12/2025,3/14/1995,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,14,Pública,Sim,RDC Promotora ,Analista de recursos humanos ,Sim,2 salários mínimos,
3/12/2025,1/23/2007,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Particular,Sim,SP Distribuidora ,Administrativo ,Sim,2 salários mínimos,
3/12/2025,3/12/2025,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira",7 anos ,Pública,Não,,,,3 salários mínimos,
3/12/2025,6/28/2001,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,3 anos,Pública,Sim,Hospital Santa Casa de Santos ,Auxiliar de Serviços de Saúde ,Não,2 salários mínimos,
3/12/2025,2/3/2007,Gestão de RH,Noturno,Por ser Instituição Pública,Pelo nome do curso,Acabou de se formar,Pública,Não,,,,,
3/12/2025,5/21/2006,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",Acabou de se formar,Pública,Sim,J C Demolições ,Assistente Administrativo ,Sim,2 salários mínimos,
3/12/2025,4/5/2001,Gestão de RH,Noturno,Pela qualidade da Instituição,"Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",3 anos,Pública,Sim,Carrefour ,Analista de recrutamento e seleção ,Sim,2 salários mínimos,
3/12/2025,2/15/2006,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira",2 anos,Pública,Não,,,,,
3/12/2025,5/6/2000,Gestão de RH,Noturno,Por ser Instituição Pública,Devido ao menor tempo de curso,7 anos ,Pública,Não,,,Não,1 salário mínimo,
3/12/2025,6/6/2005,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública, Por ter amigos na escola","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",,Pública,Sim,GRUPO YAMAM,Auxiliar Administrativo ,Sim,1 salário mínimo,. 
3/12/2025,6/23/2007,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública",Por informações de alunos da Fatec,Acabou de se formar,Pública,Não,,,,4 salários mínimos,
3/12/2025,8/8/1997,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por trabalhar na área,7 anos ,Pública,Sim,Integra ,Auxiliar de escritório no setor de condomínio ,Não,1 salário mínimo,
3/12/2025,11/26/2001,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Por ter amigos na escola","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira",4 anos,Pública,Não,,,,2 salários mínimos,
3/12/2025,9/12/2007,Gestão de RH,Noturno,"Por orientação familiar, Por ser Instituição Pública, Por ter amigos na escola","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso",Acabou de se formar,Pública,Não,,,Não,Não recebo,
3/12/2025,5/29/1991,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso, Por orientação da empresa que trabalha",3 anos,Pública,Sim,Autoridade Portuária de Santos ,Técnico Portuário ,Não,2 salários mínimos,Considero que o curso de Gestão de RH é engajador pelo fato de abrir para os campo social e interpessoal da organização e me motiva ainda mais porque é desafiador por ser uma profissional voltado ao campo de exatas. 
4/3/2025,2/7/2007,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública",Por trabalhar na área,1 anos,Pública,Não,,,,,
4/3/2025,9/16/1988,Análise e Desenvolvimento de Sistemas,Noturno,"Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Devido ao menor tempo de curso,18 anos,Pública,Não,,,Não,3 salários mínimos,
4/3/2025,11/14/2006,Análise e Desenvolvimento de Sistemas,Noturno,"Por ser o curso que deseja, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Não,,,,,
4/3/2025,12/1/1996,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,9 anos,Pública,Não,,,Não,2 salários mínimos,
4/3/2025,6/27/2006,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Não,,,Não,4 salários mínimos,
4/3/2025,3/1/2002,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Pelo nome do curso, Devido ao menor tempo de curso",6 anos,Particular,Sim,Enjoei,Analista Pleno de Marketing ,Sim,4 salários mínimos,
4/3/2025,12/26/2000,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",8,Pública,Não,,,,,
4/3/2025,4/21/2007,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Pública,Sim,Condomínio The Blue Officemall ,auxiliar administrativo ,Não,1 salário mínimo,
4/3/2025,3/19/2007,Análise e Desenvolvimento de Sistemas,Noturno,"Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública",Pelo nome do curso,Acabou de se formar,Particular,Não,,,,,
4/3/2025,9/21/1995,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Pelo nome do curso,3 anos,Pública,Sim,Geoambiente S/A,Auxiliar de Operações ,Não,2 salários mínimos,
4/3/2025,1/25/2007,Análise e Desenvolvimento de Sistemas,Noturno,Por ser o curso que deseja,"Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Sim,Daoster,Desenvolvedor de software,Sim,1 salário mínimo,
4/3/2025,6/3/2003,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por informações de alunos da Fatec, Devido ao menor tempo de curso",5 anos ,Particular,Sim,North Star Shipping ,Assistente de Custeio,Não,2 salários mínimos,
4/3/2025,9/6/1991,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por orientação familiar, Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso",12 anos,Particular,Não,,,,3 salários mínimos,Procurando estágio no momento para complementar renda.
4/3/2025,12/14/2003,Análise e Desenvolvimento de Sistemas,Noturno,Por ser Instituição Pública,Pelo nome do curso,3 anos,Particular,Sim,,,Sim,2 salários mínimos,
4/3/2025,1/28/2007,Gestão Empresarial,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública",Por informações de alunos da Fatec,3 anos,Pública,Não,,,,2 salários mínimos,
4/3/2025,10/8/2006,Gestão Empresarial,Noturno,Por ser o curso que deseja,Por trabalhar na área,Acabou de se formar,Pública,Não,,,,renda pessoal entre 3 a 4 salários mínimos ,
4/3/2025,9/18/1983,Gestão Empresarial,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja","Por orientação familiar, Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",25 anos,Pública,Sim,Quatri Automação ,Comprador / Estoquista ,Sim,1 salário mínimo,"Minha esposa é formada em Gestão Empresarial pela Fatec, sendo esta a sua segunda graduação e isso me motivou a buscar meu diploma de ensino superior, ainda mais para uma pessoa com mais de 40 anos."
4/3/2025,9/2/1998,Gestão Empresarial,Noturno,Por ser o curso que deseja,Por ter conhecimento e afinidade com a carreira,9,Pública,Não,,,Não,3 salários mínimos,
4/3/2025,6/6/2006,Gestão Empresarial,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por ter conhecimento e afinidade com a carreira,3 anos,Pública,Não,,,,,
4/3/2025,12/28/1993,Gestão Empresarial,Noturno,"Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por ter conhecimento e afinidade com a carreira,,Pública,Sim,,,Não,1 salário mínimo,
4/3/2025,6/20/1984,Análise e Desenvolvimento de Sistemas,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública","Pelo nome do curso, Devido ao menor tempo de curso",20 anos / 2 X na Fatec,Pública,Sim,Ageo Terminais ,Assistente de Expedição ,Não,4 salários mínimos,Curso ADS noturno. Porém meu real interesse seria cursar Ciências de Dados noturno (trabalho durante o dia).
4/4/2025,6/24/2006,Gestão Empresarial,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Pública,Sim,Álvares e Muniz LTDA ,Jovem aprendiz de eletricista de manutenção ,Não,Menos de 1 salário mínimo ,
4/4/2025,5/19/1994,Análise e Desenvolvimento de Sistemas,Noturno,Por ser Instituição Pública,"Pelo nome do curso, Por orientação familiar",14 anos,Pública,Sim,Prefeitura municipal de Santos ,Oficial de administração ,Não,3 salários mínimos,
4/5/2025,8/23/2005,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Por ter amigos na escola",Por ter conhecimento e afinidade com a carreira,2 anos,Pública,Não,,,,2 salários mínimos,"Po em questão de grade ou de aprendizado me atrai muito mult plataforma em PG, mas por conta de dificuldade de transporte e etcs eu preferi fazer em santos, que aí eu só preciso pegar um ônibus mesmo andando bem mais, na área eu simplesmente gosto e já tenho bastante experiência entrei mais pra q me facilitasse a pegar um emprego estou indo pro terceiro ano de experiência já peguei uns frellas mais nada muito consolidado de carteira assinada."
4/5/2025,2/28/2007,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Pública,Não,,,Não,,
4/5/2025,11/23/2005,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",1 anos,Particular,Sim,Cna,Professor,Não,3 salários mínimos,
4/5/2025,8/22/2006,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora",Por informações de alunos da Fatec,Acabou de se formar,Pública,Sim,Strauss Música Hall,Auxiliar de escritório ,Não,1 salário mínimo,Salário menor que um salário mínimo 
4/5/2025,5/15/2003,Sistemas para Internet,Vespertino,"Pela qualidade da Instituição, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",3 anos,Pública,Não,,,,3 salários mínimos,"Faço Sistemas para Internet, sinto que falta mais computadores para todos da sala, normalmente em período de provas, os alunos conseguem computador por ordem de chegada, então os ultimos costumam demorar até fazer a prova (esperando alguém terminar), seria interessante uma nova fileira com computadores nos laboratórios 


E também a opção Noturna para curso de SI"
4/5/2025,9/26/1989,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública",Por informações de alunos da Fatec,18 anos,Pública,Não,,,,1 salário mínimo,
4/5/2025,2/13/2007,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Particular,Não,,,,,
4/5/2025,7/8/2005,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ter amigos na escola",Pelo nome do curso,Acabou de se formar,Pública,Não,,,,2 salários mínimos,
4/5/2025,5/3/2006,Sistemas para Internet,Diurno,Pela qualidade da Instituição,Por informações de alunos da Fatec,1 anos,Particular,Não,,,,,
4/5/2025,3/22/2002,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira",6 anos ,Particular,Não,,,Não,1 salário mínimo,
4/5/2025,7/6/2006,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Sim,Jovem Aprendiz pela Rede Krill Supermercados,Auxiliar de caixa,Não,1 salário mínimo,Eu desejo muito trabalhar na área que eu estou cursando 
4/5/2025,6/2/2006,Sistemas para Internet,Diurno,Pela qualidade da Instituição,Por informações de alunos da Fatec,3 anos,Pública,Não,,,,,
4/5/2025,6/20/2007,Análise e Desenvolvimento de Sistemas,Diurno,"Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso",Acabou de se formar,Pública,Não,,,,,
4/5/2025,6/9/2006,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",2 anos,Pública,Não,,,,2 salários mínimos,
4/5/2025,11/20/2006,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública","Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",Acabou de se formar,Pública,Não,,,Não,3 salários mínimos,
4/5/2025,6/16/2005,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública","Por trabalhar na área, Por informações de alunos da Fatec",3 anos,Particular,Sim,Satel Despachos ,Estagiário ,Sim,3 salários mínimos,
4/5/2025,6/11/1996,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",12 anos,Particular,Sim,Bia garcia bistro,Balconista,Não,1 salário mínimo,
4/5/2025,1/28/2007,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Pelo nome do curso, Por orientação familiar, Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",Acabou de se formar,Particular,Não,,,,3 salários mínimos,
4/5/2025,3/19/2006,Sistemas para Internet,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública",Por trabalhar na área,1 anos,Pública,Não,,,,3 salários mínimos,
